PracticeElevator,15.0,40.0,1000.0,10.0,0.05
TestConfig,120.0,125.0,5000.0,25.375,0.05
OldProgrammingBot,110.0,100.0,10000.0,27.0,0.05
CompBot,120.0,90.0,5000.0,26.0,0.05
CompElevator,15.0,100.0,1000.0,10.0,0.05
ProgrammingBot,70.0,100.0,8000.0,27.0,0.05
PracticeBot,125.0,125.0,9500.0,25.375,0.05
ProgrammingBot2,130.0,100.0,8000.0,27.0,0.05
